first	second	richness	neutral	phylogenetic
EHI02085	EHI02109	0.8636363636363635	0.9176948010814198	0.31857495809728986
EHI02085	EHI02095	0	9.766113215794459e-4	5.222739828066869e-4
EHI02085	EHI02104	0.08641975308641969	0.20581211461715365	0.08424007298176994
EHI02085	EHI02128	1	1	0.3535673392913701
EHI02085	EHI02115	0.8636363636363635	0.916866825494676	0.3187445288577575
EHI02109	EHI02095	0.8636363636363635	0.9301236665138755	0.3233922112221228
EHI02109	EHI02104	0.9111111111111114	0.9679736796677487	0.3365201659443804
EHI02109	EHI02128	0.6000000000000001	0.3367088268777959	0.3019413293497688
EHI02109	EHI02115	0	0.0027276267063611748	0.0018197845990753914
EHI02095	EHI02104	0.08641975308641969	0.2042837305700309	0.08483099188596499
EHI02095	EHI02128	1	1	0.3481972261984153
EHI02095	EHI02115	0.8636363636363635	0.9284671678749882	0.32301346831578726
EHI02104	EHI02128	1	1	0.46274042651788283
EHI02104	EHI02115	0.9111111111111114	0.9664731051971526	0.336649827149925
EHI02128	EHI02115	0.6000000000000001	0.328790807251622	0.30056691506110456
