first	second	richness	neutral	phylogenetic
EHI02086	EHI02116	0.583333333333333	0.438567773160102	0.14514057188983975
EHI02086	EHI02101	0.380281690140845	0.3900872892608105	0.127944857629406
EHI02086	EHI02073	0.012048192771084265	0.002391279213054043	0.0014115893996713424
EHI02086	EHI02110	0.16666666666666674	0.32114463510948354	0.10809368951638543
EHI02086	EHI02114	0.018181818181818077	0.004067867813954518	0.0021511152078735885
EHI02116	EHI02101	0.23404255319148937	0.06412329349292756	0.013192504384622827
EHI02116	EHI02073	0.593220338983051	0.4407341235388048	0.14201682401472548
EHI02116	EHI02110	0.3999999999999999	0.08873519797793283	0.01979253709941242
EHI02116	EHI02114	0.5897435897435896	0.4441491566425576	0.14479188095780626
EHI02101	EHI02073	0.3999999999999999	0.39358249961736846	0.12470298920906997
EHI02101	EHI02110	0.18309859154929575	0.027643041331991802	0.006445317198899514
EHI02101	EHI02114	0.41007194244604306	0.4013020612742457	0.12928706948430146
EHI02073	EHI02110	0.1807228915662651	0.32372924200606645	0.10478791980698376
EHI02073	EHI02114	0.006134969325153339	0.002305138783878724	0.0012276243675403142
EHI02110	EHI02114	0.18787878787878798	0.33115639307096445	0.10967335175481041
