dataset	richness	neutral	phylogenetic
EHI02088	108	53.18855342954006	7.235736225584174
EHI02079	106	49.895730936273644	5.526681435458074
EHI02067	107	53.23941901524502	7.097181426704609
EHI02105	89	47.592651803138764	6.904108313203415
EHI02097	106	49.91050927667697	5.534211019726599
EHI02065	106	50.32903730011185	5.576830483735737
