dataset	richness	neutral	phylogenetic
EHI02081	15	5.112629371830428	3.9915254857703015
EHI02112	9	4.8710723933396105	1.3672979228806637
EHI02087	10	5.029139897820019	1.3923529963669388
EHI02118	4	3.2135121844868095	3.1978008454961313
EHI02084	14	5.595543221122289	4.098454317249646
EHI02090	9	5.100536987130201	1.3797599229768238
