dataset	richness	neutral	phylogenetic
EHI02089	62	32.36740842286545	5.806537384024642
EHI02096	153	85.901334569509	6.469948575304688
EHI02068	93	32.312208338405235	6.062048649955544
EHI02080	97	47.014186251035824	5.05243941660793
EHI02078	95	55.4512200432862	5.094173441802521
EHI02070	97	40.034975912590696	6.361873760155788
