first	second	richness	neutral	phylogenetic
EHI02126	EHI02077	0.75	0.7077647420638744	0.2193443156763325
EHI02126	EHI02069	0.574468085106383	0.0934956412364939	0.021642863156190018
EHI02126	EHI02076	0.75	0.7134748157936378	0.23060877634138977
EHI02126	EHI02120	0.8285714285714285	0.7361647832489052	0.2222502815591486
EHI02126	EHI02093	0.5454545454545454	0.11232258263322781	0.028753291232084477
EHI02077	EHI02069	0.3600000000000001	0.5938773956830421	0.15977185923195736
EHI02077	EHI02076	0.07894736842105265	0.012536260268774746	0.0038183847239616764
EHI02077	EHI02120	0.20634920634920628	0.03216517665004548	0.00865088038750228
EHI02077	EHI02093	0.41666666666666674	0.5979384648672839	0.14716302760328936
EHI02069	EHI02076	0.30666666666666664	0.6004100376174848	0.168349900132861
EHI02069	EHI02120	0.5161290322580647	0.6432307377215813	0.1704831014655913
EHI02069	EHI02093	0.04225352112676051	0.006253174782766213	0.001648730332307946
EHI02076	EHI02120	0.20634920634920628	0.023140148990277165	0.005502707675132279
EHI02076	EHI02093	0.36111111111111116	0.6051012689483629	0.15462717598908526
EHI02120	EHI02093	0.5593220338983051	0.6426027020087213	0.1561651052828532
