first	second	richness	neutral	phylogenetic
EHI02081	EHI02112	0.583333333333333	0.8122475996706298	0.660497908870214
EHI02081	EHI02087	0.5199999999999998	0.8058304860695802	0.6535485595944115
EHI02081	EHI02118	0.5789473684210527	0.0789893038221946	0.029886066017831947
EHI02081	EHI02084	0.034482758620689724	0.0038972594640018787	0.0034490867970564665
EHI02081	EHI02090	0.583333333333333	0.8115475003408013	0.6609506345656713
EHI02112	EHI02087	0.05263157894736836	8.870365000397396e-4	8.421798952813475e-4
EHI02112	EHI02118	0.8461538461538463	0.8985998431770786	0.8141811100356293
EHI02112	EHI02084	0.6521739130434783	0.7782414922901435	0.6003480881755114
EHI02112	EHI02090	0	9.431557077967945e-4	1.3072121900725708e-4
EHI02087	EHI02118	0.7142857142857142	0.8948598398656467	0.8072338615661999
EHI02087	EHI02084	0.583333333333333	0.7716720564523153	0.5934630697681198
EHI02087	EHI02090	0.05263157894736836	0.0014079067418389934	0.00096728775197152395
EHI02118	EHI02084	0.5555555555555558	0.10068224740893228	0.04488582031830768
EHI02118	EHI02090	0.8461538461538463	0.9002937571838776	0.8145320343958473
EHI02084	EHI02090	0.6521739130434783	0.7775115463255806	0.6009020968919795
