first	second	richness	neutral	phylogenetic
EHI02089	EHI02096	0.4232558139534883	0.5513686653253502	0.18727046387911928
EHI02089	EHI02068	0.2774193548387096	0.09914975592976993	0.027748463819295965
EHI02089	EHI02080	0.7358490566037736	0.8141804773591141	0.22352854151085721
EHI02089	EHI02078	0.7452229299363056	0.8112260241091986	0.22581984053600823
EHI02089	EHI02070	0.2955974842767295	0.09633924475580347	0.024188052864332787
EHI02096	EHI02068	0.26016260162601634	0.5471950940836845	0.20232513321974666
EHI02096	EHI02080	0.22399999999999998	0.24799414491745364	0.07597735132886252
EHI02096	EHI02078	0.2338709677419355	0.21763912465112067	0.0683477357705281
EHI02096	EHI02070	0.24	0.5115990600491271	0.16609061101561262
EHI02068	EHI02080	0.4631578947368422	0.7210646906175674	0.20558860169682636
EHI02068	EHI02078	0.478723404255319	0.719581716086426	0.2104100935941402
EHI02068	EHI02070	0.042105263157894646	0.033081222409421684	0.010233636494172416
EHI02080	EHI02078	0.02083333333333326	0.032980932129940466	0.007235459370717678
EHI02080	EHI02070	0.4329896907216495	0.71589041669365	0.17823014306652207
EHI02078	EHI02070	0.44791666666666674	0.693955372951424	0.17816009088035833
