dataset	richness	neutral	phylogenetic
EHI02126	10	7.302050814809135	2.951849161343202
EHI02077	38	19.573220915640235	3.1795949992689234
EHI02069	37	13.754722861870908	3.522834431705771
EHI02076	38	18.854265328879215	3.017934181829224
EHI02120	25	16.052936020380997	2.8527575365018047
EHI02093	34	14.628963007433564	3.569566861136084
