dataset	richness	neutral	phylogenetic
EHI02100	27	15.051308734555299	4.357555110990859
EHI02082	74	28.77857014974115	7.492098632405042
EHI02074	60	26.805398070281747	5.215266433292946
EHI02064	75	29.493771991028588	7.292185710041308
EHI02098	72	28.434873026473504	7.338228000208276
