dataset	richness	neutral	phylogenetic
EHI02085	40	20.89213975546839	5.660984004413492
EHI02109	4	3.4278324256350117	3.156725662802252
EHI02095	40	20.652631400244157	5.599022253065942
EHI02104	41	20.467205279844293	5.673808619872272
EHI02128	1	1	1
EHI02115	4	3.4490353369581563	3.279046409089849
