dataset	richness	neutral	phylogenetic
EHI02092	88	43.60332221877167	5.623567409253947
EHI02075	88	43.18956252791403	5.632975526821779
EHI02113	81	42.572867595875444	5.377066829452209
EHI02066	67	31.51512982598666	5.131638993757545
EHI02119	41	24.699579006232728	4.737793201438968
EHI02123	33	20.184755278208545	4.996194860802828
